Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu),U.S. Natural Gas Marketed Production (MMcf),Capacity of natural gas in storage (MMcf),U.S. Natural Gas Rotary Rigs in Operation (Count),U. S. Natural Gas Imports (MMcf),New York Harbor No. 2 Heating Oil Spot Price FOB (Dollars per Gallon),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)"
Jan-1997,3.45,1700410,8053088,478,278288,0.698,25.13
Feb-1997,2.15,1540644,7952224,492,240545,0.611,22.18
Mar-1997,1.89,1710583,7984388,518,256985,0.547,20.97
Apr-1997,2.03,1630357,7976851,526,238178,0.577,19.7
May-1997,2.25,1692637,7984278,541,241732,0.563,20.82
Jun-1997,2.2,1603091,7980400,577,232118,0.522,19.26
Jul-1997,2.19,1665310,7999864,584,235593,0.53,19.66
Aug-1997,2.49,1662151,8004464,581,244684,0.54,19.95
Sep-1997,2.88,1623973,8008021,614,239486,0.532,19.8
Oct-1997,3.07,1678542,8008021,602,251758,0.572,21.33
Nov-1997,3.01,1625944,8008021,625,272091,0.564,20.19
Dec-1997,2.35,1655732,8008021,648,262716,0.511,18.33
Jan-1998,2.09,1740662,8008021,609,286278,0.466,16.72
Feb-1998,2.23,1549369,8008021,589,251052,0.443,16.06
Mar-1998,2.24,1729596,8008021,601,263032,0.421,15.12
Apr-1998,2.43,1670166,8008021,591,253161,0.43,15.35
May-1998,2.14,1731903,8008021,580,252310,0.411,14.91
Jun-1998,2.17,1660137,8127879,585,243442,0.378,13.72
Jul-1998,2.17,1690820,8127879,549,266319,0.362,14.17
Aug-1998,1.85,1702581,8127879,565,274809,0.345,13.47
Sep-1998,2.02,1545614,8127879,559,262142,0.403,15.03
Oct-1998,1.91,1667795,8127879,519,266063,0.385,14.46
Nov-1998,2.12,1615892,8127879,499,258033,0.359,13
Dec-1998,1.72,1656813,8126067,491,275417,0.313,11.35
Jan-1999,1.85,1709279,8154792,461,310790,0.335,12.52
Feb-1999,1.77,1540789,8154792,425,286412,0.304,12.01
Mar-1999,1.79,1705658,8154792,412,301610,0.388,14.68
Apr-1999,2.15,1629521,8154792,371,271387,0.431,17.31
May-1999,2.26,1660154,8121782,380,291454,0.423,17.72
Jun-1999,2.3,1620577,8132767,434,279096,0.433,17.92
Jul-1999,2.31,1667637,8132767,478,296422,0.5,20.1
Aug-1999,2.8,1664085,8178889,527,312081,0.548,21.28
Sep-1999,2.55,1610663,8178889,565,302414,0.602,23.8
Oct-1999,2.73,1669079,8179039,601,304637,0.584,22.69
Nov-1999,2.37,1640813,8179039,635,305152,0.648,25
Dec-1999,2.36,1686596,8179039,636,324050,0.671,26.1
Jan-2000,2.42,1708636,8179039,632,325897,0.915,27.26
Feb-2000,2.66,1573807,8229259,616,300107,0.937,29.37
Mar-2000,2.79,1722304,8229259,600,306596,0.773,29.84
Apr-2000,3.04,1628474,8229259,609,294016,0.749,25.72
May-2000,3.59,1691817,8229259,645,287793,0.76,28.79
Jun-2000,4.29,1651376,8229259,677,296046,0.782,31.82
Jul-2000,3.99,1705843,8229259,733,322285,0.781,29.7
Aug-2000,4.43,1718738,8229259,779,318308,0.893,31.26
Sep-2000,5.06,1663224,8229259,810,304843,0.988,33.88
Oct-2000,5.02,1749979,8229259,842,324527,0.977,33.11
Nov-2000,5.52,1664842,8246259,832,329759,1.032,34.42
Dec-2000,8.9,1718470,8246259,854,371425,0.943,28.44
Jan-2001,8.17,1753237,8247978,879,373077,0.845,29.59
Feb-2001,5.61,1582557,8247978,898,328289,0.785,29.61
Mar-2001,5.23,1766754,8247978,913,358103,0.741,27.25
Apr-2001,5.19,1703310,8247978,957,318573,0.782,27.49
May-2001,4.19,1763141,8247978,997,321878,0.772,28.63
Jun-2001,3.72,1685568,8274026,1050,317414,0.756,27.6
Jul-2001,3.11,1737185,8271906,1058,364571,0.698,26.43
Aug-2001,2.97,1737283,8273006,1032,353338,0.734,27.37
Sep-2001,2.19,1688682,8273006,972,314864,0.731,26.2
Oct-2001,2.46,1757397,8273006,913,326114,0.628,22.17
Nov-2001,2.34,1671377,8273006,825,291044,0.548,19.64
Dec-2001,2.3,1723803,8273006,754,309673,0.524,19.39
Jan-2002,2.32,1700744,8281956,725,343481,0.536,19.72
Feb-2002,2.32,1522916,8375354,679,305917,0.541,20.72
Mar-2002,3.03,1701456,8376420,617,332596,0.636,24.53
Apr-2002,3.43,1644193,8376420,612,315116,0.667,26.18
May-2002,3.5,1711242,8376420,690,319404,0.666,27.04
Jun-2002,3.26,1648568,8376420,704,318002,0.646,25.52
Jul-2002,2.99,1719187,8384320,716,344641,0.679,26.97
Aug-2002,3.09,1684340,8384320,721,356013,0.701,28.39
Sep-2002,3.55,1592968,8386282,736,335594,0.773,29.66
Oct-2002,4.13,1630246,8386282,709,343427,0.768,28.84
Nov-2002,4.04,1634246,8431038,683,330544,0.72,26.35
Dec-2002,4.74,1694674,8431038,714,370729,0.821,29.46
Jan-2003,5.43,1690682,8403351,718,359168,0.905,32.95
Feb-2003,7.71,1537109,8412132,750,308804,1.129,35.83
Mar-2003,5.93,1739241,8394259,767,324364,0.988,33.51
Apr-2003,5.26,1665329,8394259,795,314655,0.796,28.17
May-2003,5.81,1700460,8394259,864,325157,0.741,28.11
Jun-2003,5.82,1646690,8218973,910,306878,0.759,30.66
Jul-2003,5.03,1667181,8195447,924,340532,0.786,30.76
Aug-2003,4.99,1701056,8220216,932,331628,0.816,31.57
Sep-2003,4.62,1638825,8264908,936,320676,0.736,28.31
Oct-2003,4.63,1694596,8264830,941,331005,0.82,30.34
Nov-2003,4.47,1620085,8208497,952,316721,0.835,31.11
Dec-2003,6.13,1673106,8208377,959,364161,0.891,32.13
Jan-2004,6.14,1674398,8219468,955,373195,0.984,34.31
Feb-2004,5.37,1551457,8219073,961,345930,0.913,34.69
Mar-2004,5.39,1685174,8219073,968,348992,0.909,36.74
Apr-2004,5.71,1629220,8200815,996,325105,0.922,36.75
May-2004,6.33,1654209,8175684,1007,326541,1.018,40.28
Jun-2004,6.27,1619097,8175684,1011,341934,0.994,38.03
Jul-2004,5.93,1668490,8209784,1041,374651,1.09,40.78
Aug-2004,5.41,1654093,8169664,1063,360244,1.167,44.9
Sep-2004,5.15,1550376,8148776,1073,344621,1.257,45.94
Oct-2004,6.35,1620423,8216597,1068,335533,1.485,53.28
Nov-2004,6.17,1583720,8216397,1077,368685,1.384,48.47
Dec-2004,6.58,1626834,8215861,1064,413128,1.275,43.15
Jan-2005,6.15,1632685,8236668,1075,405016,1.316,46.84
Feb-2005,6.14,1498281,8236668,1083,356495,1.343,48.15
Mar-2005,6.96,1687347,8236593,1118,379650,1.556,54.19
Apr-2005,7.16,1614614,8237729,1163,326147,1.523,52.98
May-2005,6.47,1652081,8237729,1170,333997,1.413,49.83
Jun-2005,7.18,1611743,8237729,1208,321710,1.612,56.35
Jul-2005,7.63,1627427,8237729,1226,386093,1.64,59
Aug-2005,9.53,1619414,8238729,1227,351805,1.804,64.99
Sep-2005,11.75,1400941,8238729,1236,345907,1.963,65.59
Oct-2005,13.42,1475622,8238729,1256,366305,1.891,62.26
Nov-2005,10.3,1514407,8238729,1228,359387,1.689,58.32
Dec-2005,13.05,1592533,8238729,1220,408522,1.707,59.41
Jan-2006,8.69,1611000,8238729,1228,360316,1.751,65.49
Feb-2006,7.54,1450983,8238729,1321,321045,1.639,61.63
Mar-2006,6.89,1631383,8238729,1305,348293,1.777,62.69
Apr-2006,7.16,1570546,8238729,1337,332248,1.978,69.44
May-2006,6.25,1632139,8246629,1373,350535,1.972,70.84
Jun-2006,6.21,1614061,8246590,1376,348095,1.925,70.95
Jul-2006,6.17,1650313,8253590,1379,370925,1.935,74.41
Aug-2006,7.14,1656034,8253590,1417,364972,1.984,73.04
Sep-2006,4.9,1617442,8257030,1429,333514,1.699,63.8
Oct-2006,5.85,1675387,8286744,1441,334016,1.648,58.89
Nov-2006,7.41,1615322,8286744,1414,339118,1.648,59.08
Dec-2006,6.73,1685065,8286744,1431,383205,1.684,61.96
Jan-2007,6.55,1652470,8287550,1440,393140,1.528,54.51
Feb-2007,8,1513461,8282150,1466,372874,1.693,59.28
Mar-2007,7.11,1703085,8317150,1461,401779,1.742,60.44
Apr-2007,7.6,1626673,8311750,1461,386837,1.864,63.98
May-2007,7.64,1722549,8327850,1464,380213,1.884,63.46
Jun-2007,7.35,1666465,8327850,1483,381470,1.991,67.49
Jul-2007,6.22,1703237,8323150,1486,418576,2.072,74.12
Aug-2007,6.22,1712771,8342350,1492,426534,1.984,72.36
Sep-2007,6.08,1674745,8384470,1475,361383,2.179,79.92
Oct-2007,6.74,1733373,8377174,1435,347224,2.282,85.8
Nov-2007,7.1,1712314,8366562,1451,340607,2.586,94.77
Dec-2007,7.11,1775203,8369024,1468,396945,2.574,91.69
Jan-2008,7.99,1765447,8361892,1421,389651,2.558,92.97
Feb-2008,8.54,1666095,8361892,1426,349660,2.644,95.39
Mar-2008,9.41,1804065,8361892,1444,366810,3.066,105.45
Apr-2008,10.18,1740229,8366460,1461,322122,3.226,112.58
May-2008,11.27,1797917,8369877,1478,297154,3.615,125.4
Jun-2008,12.69,1760998,8369877,1510,286919,3.801,133.88
Jul-2008,11.09,1852724,8369877,1543,322810,3.759,133.37
Aug-2008,8.26,1826392,8369877,1581,328663,3.169,116.67
Sep-2008,7.67,1559028,8369877,1585,313868,2.911,104.11
Oct-2008,6.74,1754251,8396577,1542,321328,2.239,76.61
Nov-2008,6.68,1757942,8446906,1498,320254,1.843,57.31
Dec-2008,5.82,1826966,8446906,1380,364862,1.402,41.12
Jan-2009,5.24,1870465,8455906,1215,356749,1.465,41.71
Feb-2009,4.52,1704919,8455906,1037,321522,1.279,39.09
Mar-2009,3.96,1875053,8455906,867,325165,1.277,47.94
Apr-2009,3.5,1783234,8475379,775,321848,1.357,49.65
May-2009,3.83,1843327,8500806,723,265793,1.473,59.03
Jun-2009,3.8,1791993,8460168,691,281970,1.747,69.64
Jul-2009,3.38,1827798,8500806,675,316715,1.628,64.15
Aug-2009,3.14,1842284,8500806,691,336848,1.865,71.05
Sep-2009,2.99,1733980,8511506,704,307026,1.728,69.41
Oct-2009,4.01,1814913,8511506,722,273124,1.929,75.72
Nov-2009,3.66,1757520,8521506,734,294918,1.981,77.99
Dec-2009,5.35,1802449,8655740,758,349682,1.968,74.47
Jan-2010,5.83,1824143,8655740,822,384586,2.046,78.33
Feb-2010,5.32,1682869,8655740,892,324124,1.978,76.39
Mar-2010,4.29,1864519,8655740,933,318769,2.083,81.2
Apr-2010,4.03,1813312,8655740,959,298464,2.204,84.29
May-2010,4.14,1886476,8660980,960,297801,2.04,73.74
Jun-2010,4.8,1802492,8660980,953,282260,2.032,75.34
Jul-2010,4.63,1896082,8660980,971,328655,1.979,76.32
Aug-2010,4.32,1917995,8671590,983,304901,2.016,76.6
Sep-2010,3.89,1861038,8691908,977,281518,2.09,75.24
Oct-2010,3.43,1956114,8691908,966,294744,2.242,81.89
Nov-2010,3.71,1892658,8691908,950,273165,2.32,84.25
Dec-2010,4.25,1984174,8709914,940,351773,2.468,89.15
Jan-2011,4.49,1952732,8709914,909,371919,2.604,89.17
Feb-2011,4.09,1728929,8709914,907,311154,2.77,88.58
Mar-2011,3.97,2002359,8709914,884,315408,3.034,102.86
Apr-2011,4.24,1960847,8709914,885,277936,3.196,109.53
May-2011,4.31,2030695,8720384,878,271252,2.952,100.9
Jun-2011,4.54,1954453,8720384,877,266617,2.967,96.26
Jul-2011,4.42,2032795,8720384,880,293477,3.068,97.3
Aug-2011,4.06,2056617,8720384,894,280284,2.946,86.33
Sep-2011,3.9,1987134,8720384,907,251846,2.921,85.52
Oct-2011,3.57,2118735,8775468,933,282159,2.953,86.32
Nov-2011,3.24,2076152,8775595,880,248908,3.054,97.16
Dec-2011,3.17,2134904,8775595,821,297733,2.891,98.56
Jan-2012,2.67,2152698,8842950,790,281131,3.054,100.27
Feb-2012,2.51,1974431,8854720,723,269906,3.196,102.2
Mar-2012,2.17,2118693,8854720,667,265152,3.217,106.16
Apr-2012,1.95,2044519,8882728,629,243018,3.15,103.32
May-2012,2.43,2121367,8905843,600,259023,2.913,94.66
Jun-2012,2.46,2039909,8919139,558,259732,2.619,82.3
Jul-2012,2.95,2162384,8922097,522,281166,2.813,87.9
Aug-2012,2.84,2151742,8940010,487,281350,3.045,94.13
Sep-2012,2.85,2094289,8979317,447,257990,3.134,94.51
Oct-2012,3.32,2168774,8991571,425,253402,3.14,89.49
Nov-2012,3.54,2101833,8990535,421,233853,3.009,86.53
Dec-2012,3.34,2152640,8992535,423,252066,2.995,87.86
Jan-2013,3.33,2136400,8991375,434,278078,3.068,94.76
Feb-2013,3.33,1935275,9054872,426,236875,3.168,95.31
Mar-2013,3.81,2136856,9069793,413,248290,2.943,92.94
Apr-2013,4.17,2094623,9072508,374,220608,2.742,92.02
May-2013,4.04,2157048,9104181,353,234183,2.739,94.51
Jun-2013,3.83,2084393,9111242,352,236690,2.752,95.77
Jul-2013,3.62,2196404,9117296,364,236199,2.885,104.67
Aug-2013,3.43,2191677,9132250,386,236248,2.958,106.57
Sep-2013,3.62,2115463,9171017,389,243881,2.961,106.29
Oct-2013,3.68,2192600,9177333,374,220430,2.94,100.54
Nov-2013,3.64,2143606,9174454,366,218693,2.923,93.86
Dec-2013,4.24,2177887,9172951,373,273181,3.032,97.63
Jan-2014,4.71,2198795,9164902,362,295356,3.063,94.62
Feb-2014,6,2033039,9163822,341,245422,3.061,100.82
Mar-2014,4.9,2267138,9164454,333,234189,2.912,100.8
Apr-2014,4.66,2247677,9164503,316,200669,2.888,102.07
May-2014,4.58,2310058,9176530,325,206657,2.86,102.18
Jun-2014,4.59,2247082,9185140,314,201655,2.882,105.79
Jul-2014,4.05,2371359,9202391,314,201176,2.776,103.59
Aug-2014,3.91,2384273,9210234,324,206554,2.753,96.54
Sep-2014,3.92,2306544,9206625,336,201622,2.633,93.21
Oct-2014,3.78,2407070,9209906,328,220858,2.424,84.4
Nov-2014,4.12,2314517,9233469,351,227485,2.249,75.79
Dec-2014,3.48,2410202,9233352,342,253736,1.856,59.29
Jan-2015,2.99,2420352,9233142,320,279397,1.616,47.22
Feb-2015,2.87,2196987,9232328,296,254230,1.873,50.58
Mar-2015,2.83,2443119,9233042,250,257274,1.632,47.82
Apr-2015,2.61,2398440,9233098,222,205120,1.722,54.45
May-2015,2.85,2442713,9231002,223,204348,1.832,59.27
Jun-2015,2.78,2358416,9230773,224,206273,1.762,59.82
Jul-2015,2.84,2444753,9230773,216,216973,1.557,50.9
Aug-2015,2.77,2447534,9221773,209,213875,1.387,42.87
Sep-2015,2.66,2383531,9226605,198,208818,1.423,45.48
Oct-2015,2.34,2445042,9227679,193,226286,1.404,46.22
Nov-2015,2.09,2356237,9228511,194,218242,1.316,42.44
Dec-2015,1.93,2434920,9230840,174,227257,1.037,37.19
Jan-2016,2.28,2435375,9225127,133,273600,0.939,31.68
Feb-2016,1.99,2310521,9235132,102,251775,0.972,30.32
Mar-2016,1.73,2441976,9228893,93,240764,1.132,37.55
Apr-2016,1.92,2361554,9232305,88,241317,1.188,40.75
May-2016,1.92,2412475,9232937,86,248317,1.356,46.71
Jun-2016,2.59,2312288,9237209,86,241885,1.416,48.76
Jul-2016,2.82,2408915,9236021,88,265022,1.292,44.65
Aug-2016,2.82,2389813,9236021,82,261983,1.325,44.72
Sep-2016,2.99,2297402,9236001,91,238491,1.351,45.18
Oct-2016,2.98,2364679,9235898,105,231449,1.488,49.78
Nov-2016,2.55,2307494,9235944,117,231044,1.39,45.66
Dec-2016,3.59,2357556,9239042,126,280791,1.553,51.97
Jan-2017,3.3,2339431,9239900,140,291656,1.551,52.5
Feb-2017,2.85,2142588,9239900,150,254597,1.562,53.47
Mar-2017,2.88,2425799,9240177,154,280567,1.492,49.33
Apr-2017,3.1,2350432,9251415,166,238279,1.523,51.06
May-2017,3.15,2428739,9251415,178,244353,1.454,48.48
Jun-2017,2.98,2373176,9256144,184,239805,1.332,45.18
Jul-2017,2.98,2477573,9255831,189,250508,1.423,46.63
Aug-2017,2.9,2476180,9258191,183,247888,1.519,48.04
Sep-2017,2.98,2438213,9257762,187,229444,1.708,49.82
Oct-2017,2.88,2564255,9257720,180,241338,1.707,51.58
Nov-2017,3.01,2558771,9261090,173,240314,1.823,56.64
Dec-2017,2.82,2662670,9264128,182,274478,1.863,57.88
Jan-2018,3.87,2618315,9254963,187,299891,2.017,63.7
Feb-2018,2.67,2414348,9254395,180,237417,1.853,62.23
Mar-2018,2.69,2704217,9251196,188,270762,1.874,62.73
Apr-2018,2.8,2612541,9246185,193,242264,2.037,66.25
May-2018,2.8,2730667,9246082,198,227168,2.187,69.98
Jun-2018,2.97,2655954,9244217,193,228469,2.112,67.87
Jul-2018,2.83,2799146,9244717,187,247012,2.108,70.98
Aug-2018,2.96,2855600,9244717,184,237025,2.125,68.06
Sep-2018,3,2808817,9244717,187,214074,2.225,70.23
Oct-2018,3.28,2939250,9244487,192,215128,2.313,70.75
Nov-2018,4.09,2894098,9240250,193,212486,2.033,56.96
Dec-2018,4.04,2975914,9240542,198,257148,1.784,49.52
Jan-2019,3.11,2974830,9241633,199,290886,1.819,51.38
Feb-2019,2.69,2705249,9248736,195,233344,1.931,54.95
Mar-2019,2.95,3008808,9224356,193,252989,1.965,58.15
Apr-2019,2.65,2925844,9222153,189,206559,2.036,63.86
May-2019,2.64,3046445,9226179,184,207651,2.006,60.83
Jun-2019,2.4,2956304,9226879,179,201163,1.82,54.66
Jul-2019,2.37,3071698,9226773,172,230407,1.888,57.35
Aug-2019,2.22,3146384,9227873,166,220076,1.795,54.81
Sep-2019,2.56,3056535,9229002,152,208286,1.919,56.95
Oct-2019,2.33,3186150,9229747,139,210537,1.92,53.96
Nov-2019,2.65,3133926,9229797,130,223765,1.915,57.03
Dec-2019,2.22,3234746,9229692,128,256053,1.966,59.88
Jan-2020,2.02,3194177,9247326,118,262080,1.829,57.52
Feb-2020,1.91,2984616,9247293,110,238328,1.589,50.54
Mar-2020,1.79,3196236,9247256,106,213231,1.156,29.21
Apr-2020,1.74,3011842,9256694,93,190049,0.852,16.55
May-2020,1.75,2927037,9256966,79,186518,0.843,28.56
Jun-2020,1.63,2873001,9256932,76,187478,1.073,38.31
Jul-2020,1.77,3021331,9256884,72,210419,1.187,40.71
Aug-2020,2.3,3011580,9256860,70,211352,1.18,42.34
Sep-2020,1.92,2917569,9256826,73,174225,1.069,39.63
Oct-2020,2.39,2991827,9258790,73,199306,1.099,39.4
Nov-2020,2.61,2984528,9259448,74,211736,1.16,40.94
Dec-2020,2.59,3088701,9259491,80,266618,1.366,47.02
Jan-2021,2.71,3110352,9259491,86,284065,1.477,52
Feb-2021,5.35,2586408,9259456,91,271877,1.67,59.04
Mar-2021,2.62,3091762,9259456,92,238724,1.704,62.33
Apr-2021,2.66,3035804,9259389,94,208369,1.704,61.72
May-2021,2.91,3130208,9259355,100,204890,1.834,65.17
Jun-2021,3.26,3036055,9259319,97,207859,1.911,71.38
Jul-2021,3.84,3150909,9259285,102,227779,1.947,72.49
Aug-2021,4.07,3172847,9259285,100,220959,1.878,67.73
Sep-2021,5.16,3049920,9260437,101,220206,2.053,71.65
Oct-2021,5.51,3219612,9261475,99,228203,2.382,81.48
Nov-2021,5.05,3160788,9265054,102,242405,2.253,79.15
Dec-2021,3.76,3270384,9264867,105,252610,2.118,71.71
Jan-2022,4.38,,,111,,2.481,83.22
Feb-2022,4.69,,,,,2.737,91.64
,,,,,,,
